SpecialOfferID,Description,DiscountPct,Type,Category,StartDate,EndDate,MinQty,MaxQty
1,No Discount,0,No Discount,No Discount,1/5/2011 0:00,30/11/2014 0:00,0,
2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14
3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,15,-24
4,Volume Discount 25 to 40,0.1,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,25,40
5,Volume Discount 41 to 60,0.15,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,41,60
6,Volume Discount over 60,0.2,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,61,
7,Mountain-100 Clearance Sale,0.35,Discontinued Product,Reseller,13/4/2012 0:00,29/5/2012 0:00,0,
8,Sport Helmet Discount-2002,0.1,Seasonal Discount,Reseller,30/5/2012 0:00,29/6/2012 0:00,0,
9,Road-650 Overstock,0.3,Excess Inventory,Reseller,30/5/2012 0:00,30/7/2012 0:00,0,
10,Mountain Tire Sale,0.5,Excess Inventory,Customer,14/5/2013 0:00,29/7/2013 0:00,0,
11,Sport Helmet Discount-2003,0.15,Seasonal Discount,Reseller,30/5/2013 0:00,29/6/2013 0:00,0,
12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,30/5/2013 0:00,14/7/2013 0:00,0,
13,Touring-3000 Promotion,0.15,New Product,Reseller,30/5/2013 0:00,29/8/2013 0:00,0,
14,Touring-1000 Promotion,0.2,New Product,Reseller,30/5/2013 0:00,29/8/2013 0:00,0,
15,Half-Price Pedal Sale,0.5,Seasonal Discount,Customer,14/7/2013 0:00,14/8/2012 0:00,0,
16,Mountain-500 Silver Clearance Sale,0.4,Discontinued Product,Reseller,31/3/2014 0:00,30/5/2013 0:00,0,
17,Saddle Promotion,0.3,New Product,Reseller,12/8/2023 0:00,15/12/2023 0:00,0,
18,Seatpost Promotion,0.2,New Product,Reseller,12/8/2023 0:00,15/12/2023 0:00,0,
